Testosterone>20,,Testosterone<20OnlyAfterSixMonths,,Testosterone<20AlreadyBeforeSixMonths,
X,Y,X,Y,X,Y
1.000000000000007,0.9965552985747163,24.000000000000014,0.9898218168273445,33.99999999999999,0.9742188190619363
2,0.9965552985613912,25,0.9898218168273448,34.99999999999999,0.974680338218836
3.000000000000007,0.9965552990446717,26.000000000000007,0.9898218168273334,35.99999999999999,0.9746714244257586
4.000000000000007,0.996555290772573,26.999999999999993,0.9898218168274292,37.00000000000001,0.9746714789849782
5,0.9965550475912269,27.999999999999993,0.9898218168384935,38.00000000000001,0.9746714830923839
6.000000000000007,0.9965808865355622,28.999999999999993,0.9898218160434139,39.00000000000001,0.9746714825671211
7.000000000000007,0.9950453357254618,30.000000000000007,0.989821848026011,40.00000000000001,0.9746714902654515
8.000000000000007,0.9931657053636586,31.000000000000007,0.9898211530442763,40.99999999999999,0.9746715494895529
9.000000000000007,0.9931886018573156,32.00000000000001,0.9898129547106476,41.99999999999999,0.9746573170608126
10.000000000000007,0.9931885721308248,33.00000000000001,0.991090785450144,43.00000000000001,0.9754333571957668
11,0.9931885571239866,33.99999999999999,0.9912339919909091,44.00000000000001,0.9535575772507321
12,0.993188557714178,34.99999999999999,0.9919306678956128,45.00000000000001,0.9545034518211453
13.000000000000007,0.9931885577007497,35.99999999999999,0.993192750100406,46.00000000000001,0.9544048004802137
14.000000000000007,0.9931885577009045,37.00000000000001,0.9931888381401761,47.00000000000001,0.9544744750373175
15.000000000000007,0.9931885577008516,38.00000000000001,0.9931885442079155,47.99999999999999,0.9544709473492482
16.000000000000007,0.9931885577035783,39.00000000000001,0.9931885580437257,48.99999999999999,0.9544710390368433
17.000000000000014,0.9931885576236669,40.00000000000001,0.993188557695936,50.00000000000001,0.9544710376553304
18,0.9931885581100052,40.99999999999999,0.9931885577008742,51.00000000000001,0.9544710392331103
19.000000000000007,0.9931886447763779,41.99999999999999,0.9931885577009116,52.00000000000001,0.95447094922367
20.000000000000007,0.9931827699361485,43.00000000000001,0.9931885577009066,53.00000000000001,0.9544740344036314
21.000000000000007,0.993411344932926,44.00000000000001,0.9931885577009069,54.00000000000001,0.9544300430158494
22.000000000000007,0.9886596043896421,45.00000000000001,0.9931885577009069,55.00000000000001,0.954530675680353
23.000000000000007,0.9292196050142384,46.00000000000001,0.9931885577009069,56.00000000000001,0.954676111305257
24.000000000000014,0.9032282351129324,47.00000000000001,0.9931885577009069,57.00000000000001,0.9508293393438386
25,0.870791066709815,47.99999999999999,0.9931885577009052,58.00000000000001,0.9270444120814078
26.000000000000007,0.8449428403079396,48.99999999999999,0.9931885577009483,58.99999999999999,0.9090523675972241
26.999999999999993,0.7816805310633719,50.00000000000001,0.9931885577011264,59.99999999999999,0.9090110517539456
27.999999999999993,0.7510832118776993,51.00000000000001,0.9931885576300855,60.99999999999999,0.9079809459834609
28.999999999999993,0.7184426658344579,52.00000000000001,0.9931885616663474,61.99999999999999,0.8859982040959028
30.000000000000007,0.6884183592640938,53.00000000000001,0.9931884233205792,63.00000000000001,0.885454489118236
31.000000000000007,0.6229884399841408,54.00000000000001,0.9931903959841937,64,0.885452752383521
32.00000000000001,0.6245057423501306,55.00000000000001,0.9932807937392306,65,0.885024366616927
33.00000000000001,0.6245274344187471,56.00000000000001,0.9736158651160932,66,0.8609153526927615
33.99999999999999,0.624826455564143,57.00000000000001,0.9169105526379423,67,0.8619020274382089
34.99999999999999,0.6143590566393191,58.00000000000001,0.9207323860074746,68,0.861885652652457
35.99999999999999,0.5457190794140517,58.99999999999999,0.9207933695377601,69,0.861885651049167
37.00000000000001,0.5470033272346333,59.99999999999999,0.922622117686853,70,0.861885751976905
38.00000000000001,0.5470998215348993,60.99999999999999,0.9208336426845299,71,0.8618824657466861
39.00000000000001,0.5470952794107097,61.99999999999999,0.9213252327496118,72.00000000000003,0.8619404933495657
40.00000000000001,0.5470953935857472,63.00000000000001,0.908000320710686,73,0.8605703613792048
40.99999999999999,0.5470953919646294,64,0.8515903873866609,74,0.8324450408929859
41.99999999999999,0.5470953919523297,65,0.8483662610358388,75,0.8332923702645995
43.00000000000001,0.5470953919539454,66,0.8484201754547094,76,0.8332679434158288
44.00000000000001,0.5470953919538919,67,0.8484186793310547,77,0.833268367275373
45.00000000000001,0.5470953919538929,68,0.8484186962700283,78,0.833268366463666
46.00000000000001,0.5470953919538929,69,0.8484131491423837,79,0.8332683661962319
47.00000000000001,0.5470953919538929,70,0.8487580865441198,80,0.8332683662069378
47.99999999999999,0.547095391953893,71,0.8343665015528854,81,0.8332683662066908
48.99999999999999,0.547095391953893,72.00000000000003,0.7615747366181588,82,0.8332683662066785
50.00000000000001,0.547095391953893,73,0.7641918223877342,83,0.8332683662086127
51.00000000000001,0.5470953919538929,74,0.7642542639539249,84,0.8332683661132566
52.00000000000001,0.5470953919538929,75,0.764250059181345,85,0.8332683689477612
53.00000000000001,0.547095391953893,76,0.7642501803967159,86.00000000000003,0.8332683495039548
54.00000000000001,0.547095391953893,77,0.7642501782933627,87,0.8332653924357855
55.00000000000001,0.547095391953893,78,0.7642501782973905,88,0.8334696554016191
56.00000000000001,0.547095391953893,79,0.7642501782987177,89,0.8241201950809721
57.00000000000001,0.547095391953893,80,0.7642501782986646,90,0.7827537793643293
58.00000000000001,0.5470953919538928,81,0.7642501782986658,91,0.7844298401232774
58.99999999999999,0.5470953919538929,82,0.7642501782986658,92,0.7844526094715043
59.99999999999999,0.5470953919538929,83,0.7642501782986658,93,0.7844505611459414
60.99999999999999,0.5470953919538929,84,0.7642501782986658,94.00000000000003,0.7844506246876212
61.99999999999999,0.5470953919538929,85,0.7642501782986659,95.00000000000003,0.7844506238917267
63.00000000000001,0.5470953919538929,86.00000000000003,0.7642501782986653,96.00000000000003,0.7844506649091092
64,0.547095391953893,87,0.7642501782985696,97.00000000000003,0.7844476558264545
65,0.5470953919538929,88,0.7642501783051774,98.00000000000003,0.7845700455246191
66,0.5470953919538929,89,0.7642501780452032,99.00000000000003,0.7790385525140557
67,0.5470953919538929,90,0.7642501834406364,100.00000000000003,0.7050260645011781
68,0.5470953919538929,91,0.764250263847992,101.00000000000003,0.7050232664523799
69,0.547095391953893,92,0.7642380302207239,102,0.7045648982309469
70,0.547095391953893,93,0.764863595961878,103,0.7053434315596374
71,0.547095391953893,94.00000000000003,0.7397256600964661,104,0.7053321339962757
72.00000000000003,0.5470953919538929,95.00000000000003,0.5073941299269445,105,0.70533220826329
73,0.5470953919538929,96.00000000000003,0.5067535877988792,106,0.7053322132453825
74,0.5470953919538929,97.00000000000003,0.5066917861909763,107.00000000000003,0.705332213005311
75,0.547095391953893,98.00000000000003,0.5066945689494009,108.00000000000003,0.7053322130114132
76,0.547095391953893,99.00000000000003,0.5066945005304584,109.00000000000003,0.7053322130113249
77,0.5470953919538929,100.00000000000003,0.5066945014629963,110.00000000000003,0.7053322130113242
78,0.5470953919538929,101.00000000000003,0.5066945014721193,111.00000000000003,0.7053322130113244
79,0.5470953919538928,102,0.5066945014711126,112.00000000000003,0.7053322130113244
80,0.5470953919538929,103,0.5066945014711451,113.00000000000003,0.7053322130113244
81,0.5470953919538929,104,0.5066945014711445,114.00000000000003,0.7053322130113244
82,0.5470953919538929,105,0.5066945014711445,115.00000000000003,0.7053322130113244
83,0.5470953919538929,106,0.5066945014711445,116,0.7053322130113244
84,0.5470953919538929,107.00000000000003,0.5066945014711446,117,0.7053322130113244
85,0.547095391953893,108.00000000000003,0.5066945014711445,118,0.7053322130113244
86.00000000000003,0.547095391953893,109.00000000000003,0.5066945014711445,119,0.7053322130113244
87,0.5470953919538929,110.00000000000003,0.5066945014711445,120,0.7053322130113244
88,0.5470953919538929,111.00000000000003,0.5066945014711445,121.00000000000003,0.7053322130113244
,,112.00000000000003,0.5066945014711446,122.00000000000003,0.7053322130113244
,,113.00000000000003,0.5066945014711446,123.00000000000003,0.7053322130113244
,,114.00000000000003,0.5066945014711446,124.00000000000003,0.7053322130113244
,,115.00000000000003,0.5066945014711446,125.00000000000003,0.7053322130113244
,,116,0.5066945014711445,126.00000000000003,0.7053322130113244
,,117,0.5066945014711446,127.00000000000003,0.7053322130113244
,,118,0.5066945014711446,128.00000000000003,0.7053322130113244
,,119,0.5066945014711446,129.00000000000003,0.7053322130113244
,,120,0.5066945014711446,130,0.7053322130113244
,,121.00000000000003,0.5066945014711446,131,0.7053322130113244
,,122.00000000000003,0.5066945014711446,132,0.7053322130113244
,,123.00000000000003,0.5066945014711445,133,0.7053322130113244
,,124.00000000000003,0.5066945014711445,134.00000000000003,0.7053322130113244
,,125.00000000000003,0.5066945014711445,135.00000000000003,0.7053322130113244
,,126.00000000000003,0.5066945014711445,136.00000000000003,0.7053322130113244
,,127.00000000000003,0.5066945014711445,137.00000000000003,0.7053322130113244
,,128.00000000000003,0.5066945014711446,138.00000000000003,0.7053322130113244
,,129.00000000000003,0.506694501471145,139.00000000000003,0.7053322130113244
,,130,0.5066945014711286,140.00000000000003,0.7053322130113244
,,131,0.5066945014713979,141.00000000000003,0.7053322130113244
,,132,0.5066945014800516,142.00000000000003,0.7053322130113244
,,133,0.5066945005949194,143.00000000000003,0.7053322130113251
,,134.00000000000003,0.5066945417562893,144,0.7053322130113051
,,135.00000000000003,0.5066934053064267,145,0.7053322130114109
,,136.00000000000003,0.5066965575608694,146,0.7053322130339434
,,137.00000000000003,0.5081320854734187,147.00000000000003,0.7053322115341165
,,,,148.00000000000003,0.7053322692410335
,,,,149.00000000000003,0.7053311294146996
,,,,150.00000000000003,0.7053101726034092
,,,,151.00000000000003,0.7081274086237441
